no,exit,type,epochs,accuracy,timec,timel
135,5,3,100,0.11,1585.44,2052.21
136,5,4,20,0.72,257.01,364.14
137,5,4,30,0.74,385.52,546.21
138,5,4,40,0.75,514.03,728.28
139,5,4,50,0.75,642.53,910.36
140,5,4,60,0.74,771.04,1092.43
141,5,4,70,0.75,899.55,1274.50
142,5,4,80,0.75,1028.06,1456.57
143,5,4,90,0.73,1156.56,1638.64
144,5,4,100,0.75,1285.07,1820.71
145,6,2,20,0.79,301.69,458.36
146,6,2,30,0.78,452.54,687.54
147,6,2,40,0.78,603.39,916.72
148,6,2,50,0.77,754.24,1145.90
149,6,2,60,0.79,905.08,1375.08
150,6,2,70,0.79,1055.93,1604.26
151,6,2,80,0.77,1206.78,1833.45
152,6,2,90,0.78,1357.62,2062.63
153,6,2,100,0.77,1508.47,2291.81
154,6,3,20,0.1,269.03,334.48
155,6,3,30,0.1,403.55,501.72
156,6,3,40,0.1,538.06,668.96
157,6,3,50,0.1,672.58,836.2
158,6,3,60,0.1,807.09,1003.44
159,6,3,70,0.1,941.61,1170.68
160,6,3,80,0.1,1076.12,1337.92
161,6,3,90,0.1,1210.64,1505.16
162,6,3,100,0.1,1345.15,1672.40
163,6,4,20,0.73,317.26,448.09
164,6,4,30,0.75,475.89,672.13
165,6,4,40,0.7,634.52,896.17
166,6,4,50,0.76,793.15,1120.22
167,6,4,60,0.71,951.78,1344.26
168,6,4,70,0.58,1110.41,1568.31
169,6,4,80,0.75,1269.04,1792.35
170,6,4,90,0.75,1427.66,2016.39
171,6,4,100,0.76,1586.29,2240.44
