no,inference_time,p_tar,nr_branch_edge,nr_branch_model,isTerminate
0,0.15041184425354,0.7,2,5,0
1,0.123813152313232,0.7,2,5,0
2,0.172369241714477,0.7,2,5,0
3,0.146332740783691,0.7,2,5,0
4,0.126205205917358,0.7,2,5,0
5,0.224190950393677,0.7,2,5,0
6,0.128648042678833,0.7,2,5,0
7,0.151006460189819,0.7,2,5,0
8,0.127052545547485,0.7,2,5,0
9,0.142219066619873,0.7,2,5,0
10,0.214269638061523,0.7,2,5,0
11,0.150171995162964,0.7,2,5,0
12,0.136820793151855,0.7,2,5,0
13,0.238399028778076,0.7,2,5,0
14,0.132615089416504,0.7,2,5,0
15,0.184353113174438,0.7,2,5,0
16,0.145339727401733,0.7,2,5,0
17,0.140643835067749,0.7,2,5,0
18,0.08004355430603,0.7,2,5,0
19,0.13632345199585,0.7,2,5,0
20,0.158846855163574,0.7,2,5,0
21,0.149169445037842,0.7,2,5,0
22,0.114036321640015,0.7,2,5,0
23,0.128755569458008,0.7,2,5,0
24,0.150023698806763,0.7,2,5,0
25,0.132483959197998,0.7,2,5,0
26,0.132003784179688,0.7,2,5,0
27,0.153676748275757,0.7,2,5,0
28,0.173986911773682,0.7,2,5,0
29,0.149957656860352,0.7,2,5,0
30,0.133816480636597,0.7,2,5,0
31,0.179202795028686,0.7,2,5,0
32,0.192211389541626,0.7,2,5,0
33,0.213691234588623,0.7,2,5,0
34,0.191350936889648,0.7,2,5,0
35,0.245388746261597,0.7,2,5,0
36,0.215056896209717,0.7,2,5,0
37,0.234679222106934,0.7,2,5,0
38,0.193239688873291,0.7,2,5,0
39,0.127701044082642,0.7,2,5,0
40,0.161182880401611,0.7,2,5,0
41,0.27012300491333,0.7,2,5,0
42,0.14689302444458,0.7,2,5,0
43,0.187967777252197,0.7,2,5,0
44,0.16125750541687,0.7,2,5,0
45,0.162914037704468,0.7,2,5,0
46,0.155581474304199,0.7,2,5,0
47,0.135207891464233,0.7,2,5,0
48,0.190921068191528,0.7,2,5,0
49,0.182526588439941,0.7,2,5,0
50,0.170048475265503,0.7,2,5,0
51,0.139794111251831,0.7,2,5,0
52,0.156943321228027,0.7,2,5,0
53,0.139442920684814,0.7,2,5,0
54,0.141232490539551,0.7,2,5,0
55,0.130482673645019,0.7,2,5,0
56,0.134460926055908,0.7,2,5,0
57,0.084676265716553,0.7,2,5,0
58,0.177276849746704,0.7,2,5,0
59,0.154513835906982,0.7,2,5,0
60,0.085832834243774,0.7,2,5,0
61,0.146625757217407,0.7,2,5,0
62,0.136753082275391,0.7,2,5,0
63,0.084865093231201,0.7,2,5,0
64,0.188117980957031,0.7,2,5,0
65,0.137063026428223,0.7,2,5,0
66,0.164059162139893,0.7,2,5,0
67,0.141133785247803,0.7,2,5,0
68,0.156458139419556,0.7,2,5,0
69,0.16663122177124,0.7,2,5,0
70,0.171034812927246,0.7,2,5,0
71,0.164154291152954,0.7,2,5,0
72,0.162018299102783,0.7,2,5,0
73,0.139037609100342,0.7,2,5,0
74,0.198650360107422,0.7,2,5,0
