no,exit,type,epochs,accuracy,timec,timel
135,5,3,100,0.75,1628.90,1840.38
136,5,4,20,0.7,266.88,417.99
137,5,4,30,0.69,400.32,626.98
138,5,4,40,0.69,533.76,835.97
139,5,4,50,0.69,667.2,1044.97
140,5,4,60,0.7,800.64,1253.96
141,5,4,70,0.69,934.09,1462.95
142,5,4,80,0.7,1067.53,1671.94
143,5,4,90,0.7,1200.97,1880.94
144,5,4,100,0.69,1334.41,2089.93
145,6,2,20,0.75,360.49,435.12
146,6,2,30,0.75,540.73,652.69
147,6,2,40,0.74,720.97,870.25
148,6,2,50,0.74,901.22,1087.81
149,6,2,60,0.75,1081.46,1305.37
150,6,2,70,0.74,1261.70,1522.94
151,6,2,80,0.75,1441.95,1740.50
152,6,2,90,0.76,1622.19,1958.06
153,6,2,100,0.75,1802.43,2175.62
154,6,3,20,0.76,209.53,334.89
155,6,3,30,0.76,314.29,502.34
156,6,3,40,0.76,419.05,669.78
157,6,3,50,0.76,523.81,837.23
158,6,3,60,0.76,628.58,1004.67
159,6,3,70,0.76,733.34,1172.12
160,6,3,80,0.76,838.1,1339.56
161,6,3,90,0.76,942.87,1507.01
162,6,3,100,0.76,1047.63,1674.45
163,6,4,20,0.68,292.96,480.7
164,6,4,30,0.68,439.44,721.05
165,6,4,40,0.69,585.92,961.4
166,6,4,50,0.7,732.4,1201.76
167,6,4,60,0.69,878.88,1442.11
168,6,4,70,0.7,1025.36,1682.46
169,6,4,80,0.69,1171.84,1922.81
170,6,4,90,0.7,1318.32,2163.16
171,6,4,100,0.7,1464.80,2403.51
172,7,2,20,0.75,471.11,525.8
173,7,2,30,0.75,706.67,788.7
174,7,2,40,0.76,942.23,1051.59
175,7,2,50,0.76,1177.78,1314.49
176,7,2,60,0.76,1413.34,1577.39
177,7,2,70,0.76,1648.90,1840.29
178,7,2,80,0.76,1884.45,2103.19
179,7,2,90,0.75,2120.01,2366.09
180,7,2,100,0.76,2355.56,2628.98
181,7,3,20,0.68,197.4,286.91
182,7,3,30,0.69,296.1,430.37
183,7,3,40,0.74,394.8,573.83
184,7,3,50,0.75,493.5,717.28
185,7,3,60,0.74,592.2,860.74
186,7,3,70,0.73,690.9,1004.19
187,7,3,80,0.74,789.6,1147.65
188,7,3,90,0.73,888.3,1291.11
189,7,3,100,0.74,987,1434.56
190,7,4,20,0.69,338.56,520.93
191,7,4,30,0.69,507.84,781.39
192,7,4,40,0.69,677.12,1041.85
193,7,4,50,0.69,846.4,1302.31
194,7,4,60,0.7,1015.68,1562.78
195,7,4,70,0.69,1184.96,1823.24
